,categoria,descrpcion,id_clase,geometry,B1,B2,B3,B4,B5,B6,B7
649,,,6.0,POINT (-73.19623296416722 -39.440149939863694),0.008394999999999986,0.013482500000000008,0.02396000000000001,0.012080000000000007,0.008339999999999986,0.0072399999999999964,0.0049849999999999894
650,,,6.0,POINT (-73.19588441596042 -39.44065533476356),0.009577499999999989,0.013592500000000007,0.02442749999999999,0.01540749999999999,0.010099999999999998,0.006855,0.005314999999999986
651,,,6.0,POINT (-73.19516989213646 -39.440951600739346),0.008752499999999996,0.013867500000000005,0.024895,0.012602499999999989,0.009605000000000002,0.006607499999999988,0.0046549999999999925
652,,,6.0,POINT (-73.19461221500558 -39.441448281934036),0.008092500000000002,0.012080000000000007,0.022419999999999995,0.013097499999999984,0.008559999999999984,0.006002499999999994,0.004599999999999993
653,,,6.0,POINT (-73.19401968305401 -39.44193624942356),0.0083675,0.011970000000000008,0.02285999999999999,0.01331750000000001,0.008532499999999998,0.007789999999999991,0.005452499999999999
654,,,6.0,POINT (-73.19322673588353 -39.44231965245105),0.008642499999999997,0.013097499999999984,0.024042499999999994,0.013427500000000009,0.009715000000000001,0.007377500000000009,0.005369999999999986
655,,,6.0,POINT (-73.19808462651586 -39.43990595611893),0.009907499999999986,0.014637499999999998,0.0264075,0.013674999999999993,0.008807499999999996,0.0064700000000000035,0.004627500000000007
656,,,6.0,POINT (-73.19863794679416 -39.439888528708586),0.010319999999999996,0.016562500000000008,0.026654999999999984,0.013262499999999983,0.009330000000000005,0.006277499999999991,0.004819999999999991
657,,,6.0,POINT (-73.19917819651472 -39.4401194418956),0.011612499999999998,0.01582,0.026242500000000002,0.013289999999999996,0.009137499999999993,0.007734999999999992,0.005534999999999984
658,,,6.0,POINT (-73.19974023049816 -39.440136869305945),0.012025000000000008,0.016149999999999998,0.0265725,0.0144725,0.011419999999999986,0.008697499999999997,0.006607499999999988
659,,,6.0,POINT (-73.20025869595578 -39.440406994166224),0.013729999999999992,0.01713999999999999,0.02698500000000001,0.01540749999999999,0.012052499999999994,0.008945000000000008,0.007349999999999995
660,,,6.0,POINT (-73.20055496193157 -39.440677119026496),0.014032500000000003,0.016149999999999998,0.026379999999999987,0.014554999999999985,0.013619999999999993,0.009137499999999993,0.006717499999999987
661,,,6.0,POINT (-73.20135662280725 -39.44120429818929),0.014005000000000004,0.017181249999999995,0.027548749999999997,0.018638749999999996,0.01520125,0.010704999999999992,0.008243749999999994
662,,,6.0,POINT (-73.20209728774671 -39.441753261615005),0.014087500000000003,0.0172775,0.027535000000000004,0.015847499999999987,0.017689999999999984,0.011970000000000008,0.00941249999999999
663,,,6.0,POINT (-73.20269853340345 -39.44224122910453),0.013289999999999996,0.015737499999999988,0.025774999999999992,0.014142500000000002,0.014389999999999986,0.011997499999999994,0.010127499999999984
664,,,6.0,POINT (-73.20320392830331 -39.442267370220044),0.012767499999999987,0.015352499999999991,0.025115,0.013647500000000007,0.014142500000000002,0.0114475,0.009275000000000005
665,,,6.0,POINT (-73.2037616054342 -39.44254620878549),0.011777499999999996,0.01628750000000001,0.027260000000000006,0.014857499999999996,0.01477500000000001,0.010539999999999994,0.008229999999999987
666,,,6.0,POINT (-73.20455455260468 -39.4430951722112),0.014967499999999995,0.018157499999999993,0.0295425,0.018405000000000005,0.012052499999999994,0.007679999999999992,0.00581000000000001
667,,,6.0,POINT (-73.2056524794561 -39.443635421931745),0.012740000000000001,0.0173875,0.029212500000000002,0.016589999999999994,0.007927500000000004,0.006332499999999991,0.004737500000000006
668,,,6.0,POINT (-73.19241636130273 -39.44307774480087),0.00935749999999999,0.01331750000000001,0.022667500000000007,0.015050000000000008,0.012162499999999993,0.008724999999999983,0.006745000000000001
669,,,6.0,POINT (-73.19135328927197 -39.44388811938169),0.009797499999999987,0.014389999999999986,0.025747500000000006,0.016644999999999993,0.011227500000000001,0.007047499999999984,0.005259999999999987
670,,,6.0,POINT (-73.190534200986 -39.44468978025734),0.009027499999999994,0.012987499999999985,0.023464999999999986,0.013839999999999991,0.009660000000000002,0.006855,0.005452499999999999
671,,,6.0,POINT (-73.1892184315053 -39.446014263443196),0.008037500000000003,0.013069999999999998,0.024262499999999992,0.013069999999999998,0.009082499999999993,0.0071299999999999975,0.0058374999999999955
672,,,6.0,POINT (-73.16976290628673 -39.44899217218507),0.004682499999999992,0.007913749999999997,0.016837500000000005,0.009261249999999999,0.008999999999999994,0.005631250000000004,0.006511249999999996
673,,,6.0,POINT (-73.17274735030749 -39.447935635433204),0.002757499999999996,0.006277500000000005,0.015159999999999993,0.007267499999999996,0.005356249999999993,0.005988749999999987,0.003541249999999996
674,,,6.0,POINT (-73.17465565173974 -39.44740409941783),0.0016712499999999991,0.004875000000000004,0.014499999999999999,0.0065937499999999954,0.005452499999999999,0.003953750000000006,0.003623749999999995
675,,,6.0,POINT (-73.18624487961598 -39.44740192099153),0.006002499999999994,0.009715000000000001,0.02145749999999999,0.012630000000000002,0.00988,0.007157499999999983,0.0052875000000000005
676,,,6.0,POINT (-73.18807040084913 -39.44712308242609),0.005892499999999995,0.01092499999999999,0.02145749999999999,0.01238249999999999,0.00800999999999999,0.006195000000000006,0.0044349999999999945
677,,,6.0,POINT (-73.1868875153723 -39.44735835246569),0.006195000000000006,0.010512500000000008,0.02145749999999999,0.01285,0.010209999999999997,0.006882499999999986,0.0050675000000000026
678,,,6.0,POINT (-73.17061902781973 -39.448756902145476),0.0021937499999999943,0.0055212499999999914,0.015311249999999998,0.0084225,0.005479999999999999,0.006758749999999994,0.0038712499999999928
679,,,6.0,POINT (-73.16815740610919 -39.44929715186602),0.0055074999999999985,0.007404999999999995,0.01645250000000001,0.008339999999999986,0.006195000000000006,0.005232500000000001,0.0047649999999999915
680,,,6.0,POINT (-73.16305988858467 -39.45117713375648),0.006167500000000006,0.008147500000000002,0.017030000000000003,0.010278750000000003,0.0064837499999999965,0.007734999999999992,0.005658750000000004
681,,,6.0,POINT (-73.16251310358528 -39.451170598477596),0.005383750000000007,0.007515000000000008,0.017263749999999994,0.010567499999999994,0.01646625,0.008917500000000009,0.007143750000000004
682,,,6.0,POINT (-73.16198592442248 -39.45118802588793),0.004599999999999993,0.006758750000000008,0.016617499999999993,0.010306249999999989,0.014884999999999995,0.007281250000000003,0.007460000000000008
